label,Question 
invalid,Explain the concept of time and space complexity
invalid,A number of questions on pointers
invalid,Questions on virtual functions, polymorphism, etc
invalid,Mostly Based on Structural Design both steel & concrete
invalid,Structural Analysis- methods and definition of various terms
valid,Resume related
invalid,Ex-or gate (or ex-nor gate) using opamps
valid,Routers : connection and setup, DHCP settings etc
invalid,Why not further studies?
valid,Run us through your life till this point. [What?!?]
invalid,What are the various differences between the different modes of heat transfer? [A pure core question that tests you to the core]
invalid,I want to design an air-cooled radiator for an engine. How would you decide the number of fins? [Considerable time was spent on this]
invalid,what would you do to reduce the risk of Global Warming posed by using R12 in air-conditioners? [I said use R134a. Apparently, this is not completely environment-friendly. The Americans are trying to fool us by saying so, so we buy their R134a ACs, according to the interviewer]
invalid,What is the difference between a summation and an integral? [This was asked because I mentioned Math as my strongest point]
invalid,In what cases is the Simplex method of solving simultaneous equations used?
invalid,Which sector of the industry do you think will boom in the next five years? [My answer: Statistics]
valid,Do you have any questions for us?
valid,tell me about yourself
valid,which things are necessary for team work?
invalid,Do u think participating in extra curricular activities will help u in any way during job?
valid,What are linked lists, trees etc
invalid,Explain the concept of rise time, fall time, propagation delay.
valid,Explain algorithm to find shortest path from a set of points
invalid,Give your strategy to start a coaching class for CET students
valid,what electronix subjects you have had in last 3 yrs?
invalid,can youdo coding in c++ or java?
invalid,what were difficulties you encountered in learning c?
invalid,whats difference between run time error and compile time error? List them
valid,Asked me about the 5th sem Subjects
invalid,Various memories (ram, rom..etc)
valid,Opam working
invalid,Draw application of opam
invalid,Filters of  DSP
valid,hobbies
invalid,Extra circulars
invalid,Project explaination
valid,Tell me about yourself
invalid,Do you mind being posted out of Bombay?
valid,Where do you see yourself in 10 years?
valid,Why the company?
valid,How are you suitable to the company?
invalid,which is your favourite book and what learning you take from it?
invalid,Which is your favourite metal and why?
invalid,use of Aluminium in civil engineering?
invalid,Favourite subjects in PGDM?
invalid,What are key aspects of B2B marketing?
invalid,Future scope of Aluminium as a vehicle-body?
invalid,Are you open to relocation?
invalid,What part of marketing is most liked by you?
invalid,What opinion you have regarding the structure in which we are housed(since my background of Civil engg)?
valid,Any features you like about this structure?
invalid,How do you like the room we are sitting?
invalid,Elaborate on mining aspect and soil
invalid,Are you open to relocation?
invalid,can't remember d question
invalid,OS related questions
invalid,Some scripting questions
invalid,Build automation and jenkins related questions
invalid,Linux based questions
valid,Comfort level with the job position
invalid,What is the most basic machine for an Electrical Engineer?
valid,Explain working of induction motor?
invalid,Explain DC series and DC shunt motor?
invalid,Synchronous speed of a 4 pole synchronous machine?
invalid,Why transmission at high voltage is preferred than at low voltage?
invalid,How to tackle tough technical interview?
valid,Tell me the three problems we may be facing in this job?
valid,What do you know about the company?
invalid,They asked me about my Hobbies
invalid,Proficiency in HTML/CSS/JAVASCRIPT
valid,Knowledge about Database Management
valid,Knowledge about AJAX/XML
invalid,You have a Binary tree having numbers>=0 and a numeber N.  \t\t\t\tPrint all downwards paths from any node having the sum of elements equal to N
invalid,You have a cuboid (m*n*p) each block of the cuboid is having a metallic ball.  \t Now we are passing X-ray from front face and getting a bool matrix1 of m*p the elements are set if there is a black spot.(as we are passing X-ray) and  \t another matrix2 of n*p by passing X-ray from right face. \t Now you have to print the co-ordinate (i,j,k) where mettallic balls are present. \t Is it possible to get the accurate result from given data or you need more data. If you need more data then what data you need ?
valid,Tell me about your projects
invalid,Technical round one
invalid,Technical round two
invalid,LCS, Puzzles
valid,Weaknesses and Strengths?
invalid,How will you kill all java process in one command ?
invalid,How will you monitor file change in linux ?
invalid,What is a process in linux ?
invalid,How does a linux boot ?
invalid,Given a file with  random content, could you find out all the phone numbers ?
invalid,Usecase for chef and why do you need it ?
invalid,Ruby program to find out if a directory exists and you write permissions to it ?
invalid,How would you optimise a given sql query ?
valid,Describe a time where you showed leadership skills
valid,Describe a time where you handled a difficult situation
valid,Describe a scenario where you demonstrated your ability to communicate effectively
invalid,Questions about project
valid,Implement\xc3\x82\xc2\xa0array\xc3\x82\xc2\xa0list
invalid,1. What is an Heat Exchanger and what is it used for?
invalid,2. How do you think Materials are selected for various Heat Exchangers?
invalid,3. What are the types of Compressors and give one application of each
invalid,4. How will you market a product technically?
invalid,5. What are the losses in a Compressor and How to improve the efficiency of a Compressor?
invalid,1> binary search, merge sort
invalid,2> you have one singly linked list, and you have pointer to one node, delete that node in o(1) time
invalid,std questions
valid,Deadlocks
invalid,polymorphism, inheritance real
invalid,ISO-OSI model
invalid,2-3 puzzles
invalid,pre-processor directives
invalid,Draw a integration waveform for DC
invalid,Draw a integration waveform for DC
invalid,Why starting current of induction machine is high?
invalid,Why starter is required for I.M and name the types of starting methods?
invalid,Auto transformer starter and DOL starter
valid,Torque-Speed characteristics and plot graphs
invalid,What happens to torque if voltage is halved?
invalid,Basic questions in Torque-Speed characteristics
invalid,Find voltage in an ideal current source series to resistor and capacitor
invalid,Differences between transistor and thyrister
invalid,What is diode and power amplifier
invalid,Why generating voltage is 13KV
invalid,Why voltage cannot be stepped up to a very high values 1000MW and above
invalid,Turn off time value MOSFETS
invalid,control systems
invalid,circuit theory
invalid,electrical machines
invalid,power systems
invalid,Questions on Project and then some problems to solve and their pseudocodes
invalid,Questions related to Computer graphics concepts
invalid,Some questions on C
invalid,working of syncromesh gearbox?
invalid,Function of dogclutch?
invalid,Design of multi speed gearbox?
valid,Explain arc welding?
invalid,Which gas is used in gas arc welding?
invalid,What is virtual function?
invalid,What is the difference between encapsulation and abstraction?
invalid,What does object represents in physical world?
invalid,Suppose there is a bike stand and you can take or park your vehicle from anyw here .suggest a suitable data structure for implementing such a bike stand and s upport your answer
invalid,What is difference between structures and classes?
invalid,Some questions about java too like inheritance ,interfaces etc
valid,Write code for giving output as day of week for a given date
valid,Explain Binary tree
invalid,What is referential integrity?
valid,Explain joins
valid,Print following
invalid,Your views about the company taking career growth into account. Good for ENTRY in the IT industry, provides many On site opportunities
invalid,What preparation you had done for this company? As I m from EnTC Branch ,I have covered basics of SQL,C++,and went thoroughly on C, computer networking
invalid,What are the major areas in which students need to prepare to get through this company?
invalid,All Sorting algorithms
invalid,Basics of SLL, DLL
valid,Your BE project (what is your role in it and what have you done till now?)
invalid,Some basic math puzzles
valid,List at least five questions you faced in the technical interviews
valid,Factorial and Fibonacci (Recursive and non Recursive)
valid,BST tree node Deletion code or Algorithm
invalid,Swapping of 2 no. by a) temp variable b)arithmetic operations c) without temp variable and without arithmetic operations
invalid,Basic of SLL DLL and their algos
invalid,SQL basic queries and basics like Joins and Table ,View creation
invalid,File Handling (Asked in PSL)
invalid,Which could be your dream company? As I am interested in Networking I would like to join CISCO in future
invalid,Which are the major areas TE students should focus
invalid,Puzzles (I would recommend a book called How Would You Move Mount Fuji? by William Poundstone which include all the ques.. of microsoft)
invalid,They should try for some certification like SCJP, Windows certification, IBM DB II certification which will improve their subject knowledge and beautify their resume
invalid,Always check the company s site before the pre-placement talk to get an overview of what company do and be ready with 2 or 3 good questions which will improve your chance in companies like \xc3\x82\xc2\xb5 sigma and SAPIENT
invalid,One Guesstimate on number of petrol pumps in Pune
invalid,One question was on permutation and combination using C
invalid,One box has 50 red and other had 50 white so I had to arrange to get max proba  bility of getting red ball
invalid,To find max product from an array
valid,To sort the list according to subjects with minimum time and space complexity
invalid,What are the various methods of welding?
invalid,What are the various methods of sheet metal cutting?
invalid,Methods of surface finishing?
invalid,Difference between boring and drilling?
invalid,Method to cut thick metal sheets?
invalid,Difference Between Open Sql and Closed Sql
invalid,Difference Between Data Transfer and Mass Data Transfer
valid,Explain Project from technical point of view
invalid,Python Programming language
valid,Expectation in technical Field in next 5 years
valid,Explain your project
invalid,Questions based on your project
valid,write in c
invalid,Out of 8 balls one is less in weight find no of times u will use the scale to  determine which one is defective?
invalid,related to project - diff between cloud and grid computing
invalid,Encryption and Decryption algorithms
invalid,SSL(Secure Socket Layer)
invalid,Difference between c,c++ and java ?
valid,about JVM ?
invalid,Searching and sorting methods ?
invalid,Newtons laws of motion ?
invalid,IR system used by google , web crawlers , page ranking ?
invalid,Questions related to BE project
valid,OOPS characteristics
invalid,Aptitude questions
invalid,Puzzles
valid,Data Structure
invalid,Sorting Algo
invalid,Basic OOPS concepts
valid,Code for finding Prime number
invalid,1-2 puzzles
invalid,Fibonacci series
invalid,Questions regarding B.E and T.E project
valid,Favourite subject
invalid,Questions on IP address
invalid,Difference between IP address and Port no
invalid,Questions on networking and digital systems
invalid,Questions on languages (C, 8051,8086)
invalid,Difference between C and C++
invalid,Bully Election Algorithm
invalid,Why chose Patni?
valid,Future Plans
invalid,Basics of Network Security
invalid,code for prime nos
invalid,fibonnacci series
valid,string reversal
invalid,osi & tcp/ip layers & protocol
invalid,project related questions
invalid,code for prime nos
invalid,fibonnacci series
valid,string reversal
invalid,osi & tcp/ip layers & protocol
invalid,project related questions
invalid,Regarding the B.E project
invalid,Technologies used
invalid,About various methods of Software Testing
invalid,Questions related to banking sector
invalid,What is VVTi?
invalid,What s the difference between MIG and TIG?
valid,Explain gas cutting
invalid,What are the different welding processes you know?
invalid,Explain the basic layout of 4 stoke engine
invalid,What is ACID in dbms
invalid,OOPS : polymorphism, inheritance,virtual base class (along with real world ex amples)
invalid,Difference b/w semaphores and monitors
invalid,what is a heap ?Give a real world application of the same
invalid,Differentiate b/w c,c++,java on the basis of compilation and execution
invalid,Write a code to find the second highest no in an array (using only one for loo p)
invalid,Swap x and y without using any extra variable
invalid,Run Time Stack, heap etc
invalid,WHAT IS SUPERCHARGING AND TURBOCHARGING?
invalid,DRAW IRON CARBON EQUILIBRIUM DIAGRAM
invalid,COMPARE 2 STROKE 4 STROKE ENGINES
invalid,WHICH MATERIAL IS USED FOR MAKING CYLINDER BLOCK AND PISTON?
invalid,WHAT IS CARBON CREDIT AND ITS VALUE IN EURO?
valid,Explain your BE project?
valid,Tell about technical paper presentations?
invalid,What is tribology?
invalid,What is supercharger?
invalid,What is vapour recovery system?
valid,Decription of MTech Project + simple C programs + their codes
invalid,Question on strings, linkedlist etc. Its pseudocode also
invalid,Questions on Databases' concepts basically related to Indexing, Hashing, B/B+ Tree
invalid,About Database
invalid,Python (mentioned in Resume)
invalid,Asked about Mtech project
invalid,Asked questions from the courses done in Mtech (as I am from ECE background they didnt find any computer subjects in my Btech)
invalid,Questions from Project work only
invalid,The first round was mostly on algorithms and data structures
invalid,The second round was on basic computer science concepts (OS and networks)
invalid,General questions
invalid,Asked about MTech project
invalid,They asked questions related to tress, heaps, strings, stacks
invalid,They also asked to write small pieces of codes for the solutions I told them
invalid,They basically asked about my areas of interest and whether I would like to join them etc
invalid,(Technical) + Decription of MTech Project;
invalid,Quesstions related to C and one-two problems and puzzles
invalid,Decription of MTech Project again + question related to strings.
invalid,Problems were related to substrings finding in a very large file efficiently and onetwo puzzles
invalid,std ones,
valid,5 yr plan
valid,why this, your hobby
valid,any questions regarding job?
invalid,Questions on Data Structures
invalid,Questions on Algorithm
invalid,Puzzles
invalid,About Major project
invalid,Some question on string finding in a big file that can't fit in memory. How to split and apply KMP.
invalid,allocate space for matrix, and some minor variations
invalid,check if a tree is a subtree of another. What if tree is big enough not to fit in memory. How to split and merge results?
invalid,std ones,
valid,5 yr plan
valid,why this your hobby,
valid,any questions regarding job?
invalid,Computer architecture based questions,
invalid,OS related questions,
valid,Algorithms
invalid,Questions on my MTech Project and then some problems to solve and their pseudocodes, also some questions on C.
invalid,Questions related to Computer graphics concepts also
valid,Data structure and algorithms questions
invalid,They asked about my project as well
invalid,Some general questions like; a. Have you ever done anything for your passion only Not for your curriculum that too basically when you have a busy academic life in IIT.
invalid,b. How do you plan to continue the learning environment of IIT after graduating from here?
invalid,c. What is it in computer science which excites you?
invalid,whether I'll join their company or not
invalid,whether i am fine with relocation
invalid,focussed on understanding of the subjects like architecture and operating systems
invalid,algorithms to writing code and architecture and parallel programming
invalid,No technical questions
invalid,A brief overview of the BE project,TE project
valid,HR questions Hobbies,Why this company,about yourself etc
invalid,DB indexing
invalid,Software Approach
invalid,Pointer Application
invalid,File Systems
invalid,Semaphore
invalid,What is Internet Information Services ?
valid,What is data structure?
invalid,What is storage specifier in c?
invalid,What Response. Write () do in respect to a web page?
invalid,BE Project
invalid,Mini Project
invalid,C concepts
invalid,DBMS concepts
invalid,OS concepts
valid,OOPS inheritence, polymophism, object n classes
valid,Data stucture - merge sort, queues n stack
invalid,Differences of java n c
invalid,Everything about project
valid,Tell me about yourself ??
valid,Would you go for higher studies??
invalid,Why aren't  you doing MBA??
valid,What "are" your favourite subjects??
invalid,Basic questions from all subjects??
valid,Questions from internship areas??
invalid,Questions from engineering drawing??
invalid,Dynamic Programming Questions
valid,Difference between single and doubly linked list?Why do we prefer doubly over single linked list?
invalid,What is the purpose of cloud other than storage?The answer is processing
invalid,Difference between LINUX/UNIX and WINDOWS
valid,Program for sorting an array
invalid,Time complexity of different types of sorting technique?Which one is most efficient one?
invalid,What do you mean by big data?
invalid,Advantage of ASP.net over JAVA
valid,Tell me about yourself?
valid,Why do you want to join our company?
invalid,Any question regarding the company?
valid,Do you have any questions for me?
invalid,What is your grip on C?
invalid,How do you plan on coping up in IT?
valid,How do you cope under pressure?
invalid,My interview started with my introduction followed by some questions related to the Software Engineering
invalid,Explain SDLC(Software Development Life Cycle)?
invalid,Name different Software Development Models You know about?
invalid,Explain Waterfall model.It's advantages and disadvantages?
invalid,What's Agile methodology and it's advantages over waterfall model?
valid,Dicussions about my Project.Explain E-R diagram of your Project?Have you done any Project in C,C++?Which Software Development Model you used?
invalid,HR round was also with the techical interview so they asked some general HR questions
valid,Describe your profile
invalid,How do you plan on coping up in IT?
valid,Describe the project you're working on
valid,What was your part in the entire project execution?
valid,Explain final\xc3\x82\xc2\xa0year\xc3\x82\xc2\xa0project\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0detailed\xc3\x82\xc2\xa0manner
invalid,\xc3\x82\xc2\xa0Questions realted to inodes,\xc3\x82\xc2\xa0debugs\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0filesystem were asked
invalid,Questions on OS like what is a class and asked me to write a class for a particular roomspray
invalid,Generate a program for finding the prime numbers
invalid,Define web server
valid,Tell me something about yourself( weakness, strength, hobbies)
invalid,Questions were asked on web based project and mobile based applications
invalid,Questions were put up according to  subject area of interest . some of OS based questions are as follows-
invalid,1-) Daemon process
invalid,2-) What happens to the child process when parent gets terminated
invalid,3-)What are various memory available in OS
valid,4-)Define paging
valid,5-)What do you mean by incode , deadlock recovery and hierarchical file structure
invalid,Question about PHP, APACHE TOMCAT
invalid,Questions related to my projects were asked
valid,Had you done any projects outside your Curriculum
invalid,Write\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0code\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0arranging\xc3\x82\xc2\xa0numbers\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0sorted\xc3\x82\xc2\xa0order
invalid,What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0Data\xc3\x82\xc2\xa0Mining
invalid,What is a need of compiler
valid,Explain software\xc3\x82\xc2\xa0development\xc3\x82\xc2\xa0life\xc3\x82\xc2\xa0cycle
valid,Explain some DBMS\xc3\x82\xc2\xa0queries(select,delete,insert,update,drop)
invalid,Simple questions on C programming ( what is Studio.h, preprocessor)
valid,Tell\xc3\x82\xc2\xa0 something about\xc3\x82\xc2\xa0yourself
invalid,Why TCS
valid,What is your long term goal
valid,Tell me something about yourself
invalid,Condition - If given chance how will you control the traffic of Chennai
valid,How you know bout TCS
invalid,Simple questions based on final year project
invalid,Questions based on final year projects
invalid,What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0difference\xc3\x82\xc2\xa0between\xc3\x82\xc2\xa0c\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0c++
valid,Explain Java\xc3\x82\xc2\xa0Virtual\xc3\x82\xc2\xa0Machine
valid,\xc3\x82\xc2\xa0What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0inheritance and polymorphism\xc3\x82\xc2\xa0explain with\xc3\x82\xc2\xa0real\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0examples
valid,\xc3\x82\xc2\xa0What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0strength\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0weakness\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0incident
invalid,What extra curriculum you have been doing
invalid,What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0difference\xc3\x82\xc2\xa0between different\xc3\x82\xc2\xa0kind\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0linux\xc3\x82\xc2\xa0OS?
invalid,What is cloud computing
invalid,Few questions based on final year project
valid,Give a detail description of final year project
invalid,What is software devlopement life cycle and why testing is done?
valid,Difference\xc3\x82\xc2\xa0between\xc3\x82\xc2\xa0windows\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0linux and \xc3\x82\xc2\xa0which\xc3\x82\xc2\xa0OS\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0prefer and why?
valid,Give a introduction about yourself
invalid,Why\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0CGPA\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0low\xc3\x82\xc2\xa0when\xc3\x82\xc2\xa0compared\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0school\xc3\x82\xc2\xa0percentage
invalid,Can\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0work\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0company\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0two\xc3\x82\xc2\xa0years\xc3\x82\xc2\xa0at a stretch
invalid,About my project,
invalid,Difference between micro controllers and microprocessors
invalid,What is the difference in C and C++?
valid,What is your project?
invalid,What is the current status of your project?
valid,What do you want to do professionally?
invalid,How does communication occur between 2 processes in OS(Interprocess communication)
valid,Write code for the same
invalid,How a Kernel is compiled?
invalid,What is Virtualization, Cloud?
valid,Write code for Reader Writer problem
invalid,Difference between process and thread
invalid,OOMD BASICs (different models, RUP, software life cycle)
invalid,OOPS: polymorphism, inheritance real world examples
invalid,Linked List (SLL, DLL, doing reversing in both, adding in dll a new node.)
invalid,Find minimum path from one city to other city
invalid,Puzzles. (Finding the defected weights out of the corrected one in minimum checks)
invalid,Your Project is the main. You must know it thoroughly
valid,Recursion
invalid,What is ACID in dbms
invalid,OOPS : polymorphism, inheritance,virtual base class (along with real world examples)
invalid,Difference b/w semaphores and monitors
invalid,what is a heap ?Give a real world application of the same
invalid,Differentiate b/w c,c++,java on the basics of compilation and execution
invalid,Hi\xc3\x82\xc2\xa0maghalakshmi,\xc3\x82\xc2\xa0how\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0u\xc3\x82\xc2\xa0feel\xc3\x82\xc2\xa0till\xc3\x82\xc2\xa0yesterday
invalid,\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0wat\xc3\x82\xc2\xa0about\xc3\x82\xc2\xa0today
invalid,\xc3\x82\xc2\xa0tell\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0about\xc3\x82\xc2\xa0yourself\xc3\x82\xc2\xa0(though\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0have\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0enough\xc3\x82\xc2\xa0he\xc3\x82\xc2\xa0kept\xc3\x82\xc2\xa0on\xc3\x82\xc2\xa0asking\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0continue..on\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0on)
valid,\xc3\x82\xc2\xa0tell\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0situation\xc3\x82\xc2\xa0where\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0proved\xc3\x82\xc2\xa0yourself\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0very\xc3\x82\xc2\xa0good\xc3\x82\xc2\xa0team\xc3\x82\xc2\xa0player(since\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0mentioned\xc3\x82\xc2\xa0 this)
invalid,have\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0done\xc3\x82\xc2\xa0any\xc3\x82\xc2\xa0proposals?\xc3\x82\xc2\xa0innovative\xc3\x82\xc2\xa0works?\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0it?
invalid,have\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0fought\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0friends?for\xc3\x82\xc2\xa0what?how\xc3\x82\xc2\xa0did\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0resolved\xc3\x82\xc2\xa0it?
invalid,where\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0want\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0see\xc3\x82\xc2\xa0yourself\xc3\x82\xc2\xa0after\xc3\x82\xc2\xa05\xc3\x82\xc2\xa0years?
invalid,what\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0leisure\xc3\x82\xc2\xa0time?
invalid,list\xc3\x82\xc2\xa0all\xc3\x82\xc2\xa0indian\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0companies\xc3\x82\xc2\xa0?
invalid,what\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0know\xc3\x82\xc2\xa0about\xc3\x82\xc2\xa0accenture?
invalid,why\xc3\x82\xc2\xa0accenture?
valid,what\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0prefer?newspaper\xc3\x82\xc2\xa0or\xc3\x82\xc2\xa0news\xc3\x82\xc2\xa0channel?why?(i\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0him\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0used\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0watch\xc3\x82\xc2\xa0news\xc3\x82\xc2\xa0 channel\xc3\x82\xc2\xa0while\xc3\x82\xc2\xa0eating\xc3\x82\xc2\xa0as\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0wont\xc3\x82\xc2\xa0spend\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0separately\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0this)
valid,\xc3\x82\xc2\xa0which\xc3\x82\xc2\xa0news\xc3\x82\xc2\xa0channel\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0used\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0see?
invalid,is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0gold\xc3\x82\xc2\xa0rate\xc3\x82\xc2\xa0increasing\xc3\x82\xc2\xa0or\xc3\x82\xc2\xa0decreasing\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0past\xc3\x82\xc2\xa01\xc3\x82\xc2\xa0week
invalid,what\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0gold\xc3\x82\xc2\xa0rate\xc3\x82\xc2\xa0today?
valid,will\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0work\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0night\xc3\x82\xc2\xa0shift
invalid,would\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0mind\xc3\x82\xc2\xa0if\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0you for a bond?
valid,which\xc3\x82\xc2\xa0place\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0prefer\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0work?
invalid,how\xc3\x82\xc2\xa0much\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0you\xc3\x82\xc2\xa0spend\xc3\x82\xc2\xa0travelling\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0college?i\xc3\x82\xc2\xa0said\xc3\x82\xc2\xa045\xc3\x82\xc2\xa0minutes\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0used\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0solve\xc3\x82\xc2\xa0 sudoku\xc3\x82\xc2\xa0at\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0time.\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0this\xc3\x82\xc2\xa0because\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0mentioned\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0my\xc3\x82\xc2\xa0hobby\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0him\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0such\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0way\xc3\x82\xc2\xa0 that\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0utilise\xc3\x82\xc2\xa0my\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0efficiently\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0not\xc3\x82\xc2\xa0even\xc3\x82\xc2\xa0waste\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0minute(the\xc3\x82\xc2\xa0latter\xc3\x82\xc2\xa0part\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0not\xc3\x82\xc2\xa0actually\xc3\x82\xc2\xa0 true..lol)
invalid,any\xc3\x82\xc2\xa0qns\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0me?(pl\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0ask\xc3\x82\xc2\xa0something.\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0him\xc3\x82\xc2\xa0something\xc3\x82\xc2\xa0related\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0training)
valid,Tell something about yourself
invalid,Difference between Stack and Queue with real time example
invalid,According to you, which sorting algorithm is best and why?
invalid,Difference between semaphore and mutex with real time example
invalid,Array problem:- Find the repeating number in an array.
valid,About deadlock
invalid,Difference between paging and segmentation
invalid,Basic oops concepts
valid,About dining philospher problem
invalid,Explain your best project which you did in college
invalid,Design\xc3\x82\xc2\xa0data\xc3\x82\xc2\xa0structure\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0Excel\xc3\x82\xc2\xa0sheet
valid,Implement\xc3\x82\xc2\xa0monitors\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0OS
invalid,Real time egs for oops concepts ( this is very frequent question that is asked)
invalid,One\xc3\x82\xc2\xa0query\xc3\x82\xc2\xa0using\xc3\x82\xc2\xa0self\xc3\x82\xc2\xa0join\xc3\x82\xc2\xa0\xc3\x82\xc2\xad\xc3\x82\xc2\xa0(ename,mid)\xc3\x82\xc2\xa0display\xc3\x82\xc2\xa0all\xc3\x82\xc2\xa0employee\xc3\x82\xc2\xa0names\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0their\xc3\x82\xc2\xa0manager\xc3\x82\xc2\xa0 names
